idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1629149,493,4,1,1,1,3,1,6,2,0,1,23,7,2025,9,56,2024,3,21,95,3,,,,,,4,,1,100,0,0,0,2,,2009,40,2009,16,2,2,,2,,,,1,50.0,6.0,0.0,5.0,,1,30.0,1,50.0,2,,,,2,1,6.0,3.0,1,2,,2,4,4,100,100000000.0,One hundred million,-7.0,,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,3,,,,,,,,,,,,2,500.0,3.0,1,2,2,2,2,,,2,,2,,,,,,,,,2,,,3,2,,1,1,0,100,0,0,0,0,0,1,3500000.0,0.0,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,10,1.0,,2.0,2.0,0,,,,0,2,,,,,35,1,2,-6,,,2,,2,,0.0,,2,,,2,,,3,2,0,1,0,0,0,4,0,0,4,2,0,3,2,12,5,9,8,1,2,13,14,11,4,15,3,10,6,7,11,12,5,9,8,1,2,13,14,11,4,15,3,10,6,7,18,6,100.0,,,,,,0.0,14,2,2,2,,,,,,,1,4.0,4.0,3,0,,,2,,,1,2.0,0,0,842,12630.0,150,1.0,,6000,3000000,156000.0,,,,2,23,7,2025,11,26,1,1,1,,,1,1,1,1,2,4210,1,1,4,0,2.7649214,5.415388,10.492743,5
1629150,494,3,1,4,1,3,4,5,2,0,2,25,9,2025,11,37,2024,3,21,95,1,,,,,,3,,1,100,0,0,0,2,,2023,5,2023,8,2,2,,2,,,,1,25.0,1.0,10.0,,10000.0,1,50.0,2,,2,,,,-7,2,,,2,1,3.0,1,2,62,90,2000000.0,TWO MILLION,-7.0,,,100,0,0,,,,,,,,,,70,30,2.0,,,,,,,,2,,3,4,2,,,,,,,,,,,,2,40.0,2.0,1,-7,2,1,1,1.0,"Using better and higher quality cement and materials for construction work than before, meaning that the current cement and materials we use are of higher quality than before .",1,"Previously, we used to supply to remote areas from Nangarhar , but now we have an office in the area of operation and provide create transparency and make things easier",2,,,,,,,,,2,,,4,1,7000.0,2,1,100,0,0,0,0,0,0,1,80000.0,120000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,1,90,3.0,,3.0,-5.0,90,3.0,,-5.0,10,1,2.0,2.0,2.0,,-9,1,1,-6,,,1,2.0,1,30.0,0.0,,2,,,1,2.0,2.0,1,1,0,4,1,3,0,3,1,3,3,2,3,3,2,11,1,4,3,6,12,10,14,9,8,13,15,2,5,7,12,11,1,4,3,6,12,10,14,9,8,13,15,2,5,7,5,-7,,5.0,,,,,0.0,2,2,1,1,,,,,,0.0,2,,,0,1,0.0,8.0,2,,,2,,0,2,460,12000.0,-9,,,-9,350000,90000.0,,,,4,25,9,2025,12,50,1,1,1,,,1,1,2,2,2,5229,4,4,3,0,1.0,1.0,4.8455725,61
1629151,495,3,1,4,1,3,3,7,1,0,2,4,8,2025,14,15,2024,3,21,95,1,3.0,1.0,1.0,1.0,,3,,1,100,0,0,0,2,,2023,7,2023,10,2,2,,2,,,,1,26.0,1.0,0.0,,45000.0,1,40.0,2,,2,,,,-7,2,,,2,2,,2,-7,3,75,30000000.0,Thirty Million,-7.0,,,45,10,45,Pakistan,1.0,0.0,2.0,0.0,1.0,5.0,2.0,2023.0,80,20,1.0,Pakistan,1.0,0.0,2.0,0.0,2.0,5.0,2,,3,2,4,,,,,,,,,,,,2,230.0,3.0,1,2,2,2,1,1.0,"Importing new products and fruits to the market , improving the quality of cartons",1,Facilitating logistics and transporting eggs in cold weather,2,,,,,,,,,2,,,4,1,1500000.0,2,1,60,0,0,0,0,40,0,1,400000.0,20000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,1,2,4.0,-9.0,700000.0,1.0,2.0,2.0,2.0,1.0,2.0,600000.0,2,2,2,1.0,,,2,80,3.0,,2.0,2.0,30,3.0,,2.0,10,1,4.0,2.0,2.0,,-9,1,1,-6,,,1,2.0,1,20.0,0.0,,1,7.0,2.0,1,4.0,2.0,2,0,1,2,1,3,0,1,0,1,3,4,1,3,1,15,12,7,13,1,10,4,14,2,11,5,8,9,6,3,12,15,12,7,13,1,10,4,14,2,11,5,8,9,6,3,7,-7,75.0,,,,,,0.0,1,1,5,1,,,,,,0.0,2,,,0,0,,,2,,,2,,1,2,250,6000.0,0,,,0,1020000,30000.0,,,,4,4,8,2025,15,17,1,1,1,,,1,2,2,2,2,4630,4,4,3,0,1.0,1.0,4.8455725,61
1629152,503,3,1,4,1,1,4,15,2,0,2,27,7,2025,17,50,2024,3,21,95,1,,,,,,3,,1,100,0,0,0,2,,2020,6,2020,6,2,2,,1,12.0,2.0,-9.0,1,10.0,2.0,30.0,,60000.0,1,50.0,2,,2,,,,-7,2,,,2,1,1.0,2,4,1,100,14000000.0,Fourteen million,11500000.0,Eleven million five hundred thousand,-9.0,100,0,0,,,,,,,,,,65,35,1.0,Pakistan,1.0,0.0,2.0,3.0,5.0,-9.0,2,,4,4,4,,,,,,,,,,,,1,-4.0,3.0,1,-7,2,1,2,,,1,"The quality and design of bags, the acceptance of farmers orders",2,,,,,,,,,2,,,4,2,,1,2,80,20,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,40,2.0,,0.0,-6.0,-9,,,,0,1,1.0,2.0,2.0,,32,2,2,2,,3.0,2,,2,,0.0,,1,3.0,2.0,1,2.0,2.0,3,0,2,2,-9,3,2,3,3,2,2,1,1,2,2,3,14,1,15,8,2,13,9,7,11,12,4,6,10,5,6,3,14,1,15,8,2,13,9,7,11,12,4,6,10,5,15,15,50.0,,6.0,9.0,0.0,0.0,,3,3,0,2,,,,,,,2,,,0,0,,,2,,,1,1.0,3,3,250,7800.0,0,,,0,1300000,46000.0,4500000.0,,1700000.0,0,27,7,2025,21,58,1,1,1,,,1,1,2,2,2,2220,4,4,3,0,1.0,1.0,4.8455725,61
1629153,508,3,1,2,1,3,2,10,2,0,1,21,7,2025,16,52,2024,3,21,95,2,,,,,,3,,1,100,0,0,0,2,,1982,100,1982,32,2,2,,2,,,,1,5.0,0.0,35.0,-9.0,,2,,1,25.0,2,,,,-7,2,,,2,1,2.0,1,2,3,100,4000000.0,Four million,4000000.0,Four Million,,100,0,0,,,,,,,,,,80,20,2.0,,,,,,,,2,,4,4,4,,,,,,,,,,,,2,-4.0,2.0,3,1,2,1,1,1.0,"Laundry liquid, dishwashing liquid, cleaning spray for clothes stains, quality and five-function laundry liquid for automatic washing machines, spray for cleaning cabinets and dashes",1,"Laundry liquid, dishwashing liquid, cleaning spray for clothes stains, quality and five-function laundry liquid for automatic washing machines, spray for cleaning cabinets and dashes",2,,,,,,,,,2,,,4,2,,2,2,100,0,0,0,0,0,0,1,700000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,1,2,4.0,2003.0,0.0,2.0,,,,,,,2,2,2,1.0,,,2,10,3.0,,0.0,-5.0,10,3.0,,-5.0,0,2,,,,,-9,1,2,2,,3.0,2,,2,,0.0,,2,,,1,7.0,2.0,4,0,0,2,1,2,2,1,3,1,1,2,1,3,0,2,14,13,15,11,10,3,4,9,6,12,5,1,8,7,1,2,14,13,15,11,10,3,4,9,6,12,5,1,8,7,10,10,5.0,,,,,,0.0,3,5,2,2,,,,,,,1,30.0,0.0,0,0,,,1,0.0,28.0,2,,1,0,300,5100.0,0,,,0,2500000,100000.0,,,,-9,21,7,2025,17,47,1,2,1,,,1,1,2,2,2,4690,2,1,3,0,1.3446301,1.7296375,3.7008953,20
1629154,509,3,1,2,1,3,2,10,2,0,1,16,10,2025,14,17,2024,3,21,95,2,,,,,,4,,1,100,0,0,0,2,,2000,10,2000,30,2,2,,2,,,,2,,,,,,1,40.0,2,,2,,,,1,2,,,1,1,7.0,1,1,3,100,26000000.0,Twenty Six Million,20000000.0,Twenty Million,,100,0,0,,,,,,,,,,80,20,1.0,China,1.0,7.0,6.0,7.0,5.0,40.0,1,2.0,4,3,3,,,,,,,,,,,,2,10.0,3.0,2,2,2,1,2,,,2,,2,,,,,,,,,1,10.0,2.0,4,2,,2,2,90,10,0,0,0,0,0,1,2000000.0,1000000.0,90.0,,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,1,2,1.0,2014.0,20000000.0,1.0,1.0,2.0,2.0,1.0,2.0,16500000.0,1,2,2,1.0,,,2,0,,,,,0,,,,5,1,5.0,2.0,2.0,,60,3,1,-6,,,2,,2,,0.0,,1,4.0,2.0,1,5.0,2.0,0,1,0,0,0,0,1,1,2,0,1,1,0,2,1,3,15,2,6,5,13,11,8,12,10,14,7,4,1,9,12,3,15,2,6,5,13,11,8,12,10,14,7,4,1,9,12,10,15.0,,,,,,0.0,2,4,6,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,200,5000.0,450,1.0,,5000,1800000,150000.0,,,,7,16,10,2025,15,28,1,2,1,,,1,1,2,2,2,4530,2,1,3,0,1.3446301,1.7296375,3.7008953,20
1629155,512,2,1,2,1,1,2,30,1,0,1,9,10,2025,11,44,2024,3,21,95,2,9.0,1.0,2.0,1.0,,3,,1,100,0,0,0,2,,2013,50,2013,14,2,2,,2,,,,2,,,,,,2,,2,,2,,,,1,2,,,2,2,,2,2,1,100,15000000.0,Fifteen Million,20000000.0,Twenty Million,90.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,1,2.0,2.0,,1.0,2.0,3.0,2.0,2.0,,2.0,3.0,1,-4.0,3.0,1,2,2,1,1,2.0,"Previously, this business unit produced and marketed biscuits in a simple form, but over the course of three years, it has made changes to the type and quality of biscuits and has marketed them. The changes can be said to include the supply of ",2,,2,,,,,,,,,2,,,4,2,,2,2,100,0,0,0,0,0,0,1,1000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2,2,2,,,,,,,,,,,2,2,2,1.0,,,2,0,,,,,10,3.0,,-5.0,5,1,2.0,2.0,2.0,,1,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,1,0,2,0,2,1,1,0,1,1,3,3,1,1,0,12,8,13,2,11,10,1,9,7,3,5,14,4,15,6,5,12,8,13,2,11,10,1,9,7,3,5,14,4,15,6,30,50,20.0,,20.0,10.0,0.0,0.0,,10,5,5,2,,,,,,,2,,,0,0,,,2,,,2,,1,2,9629,65000.0,25,1.0,,2000,2400000,60000.0,10000000.0,,14000000.0,2,9,10,2025,12,52,1,1,1,,,1,1,2,2,2,1071,2,1,2,0,2.7423851,3.2991145,5.109369,18
1629156,517,3,1,2,1,2,1,5,2,0,1,14,10,2025,10,2,2024,3,21,95,2,,,,,,3,,1,100,0,0,0,2,,1990,4,1990,45,2,2,,2,,,,1,10.0,2.0,30.0,0.0,,2,,1,80.0,2,,,,-7,2,,,1,1,1.0,2,4,2,75,60000000.0,Sixty million,20000000.0,Twenty million,,100,0,0,,,,,,,,,,0,100,1.0,China,1.0,7.0,-9.0,4.0,-9.0,30.0,2,,3,2,2,,,,,,,,,,,,2,10.0,1.0,1,1,2,1,2,,,2,,2,,,,,,-9.0,,,2,,,-9,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,10,3.0,,0.0,-6.0,10,3.0,,-6.0,3,1,4.0,2.0,2.0,,24,3,1,2,,3.0,2,,2,,0.0,,1,7.0,2.0,1,1.0,2.0,0,3,0,0,-9,3,1,3,3,0,3,3,0,0,2,7,11,4,10,5,2,12,14,9,13,1,8,3,15,6,12,7,11,4,10,5,2,12,14,9,13,1,8,3,15,6,10,5,,4.0,,,,,0.0,5,3,2,2,,,,,,,2,,,0,0,,,2,,,2,,2,0,10,200.0,0,,,0,2000000,500000.0,,5000000.0,,2,14,10,2025,11,18,1,1,1,,,1,1,1,1,2,4761,2,1,3,0,1.3446301,1.7296375,3.7008953,20
1629157,528,3,1,4,1,3,3,15,2,0,1,22,8,2025,18,1,2024,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2021,6,2021,5,2,2,,2,,,,2,,,,,,2,,1,100.0,2,,,,-7,2,,,2,2,,-7,4,62,100,1500000.0,ONE MILLION AND FIVE HUNDRED THOUSAND,7500000.0,seven million five hundred thousand,,50,0,50,,,,,,,,,2022.0,50,50,2.0,,,,,,,,2,,4,4,4,,,,,,,,,,,,3,,,1,-7,2,2,2,,,2,,2,,,,,,,,,2,,,4,2,,1,1,100,0,0,0,0,0,0,1,162000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,-9,,,,,-9,,,,0,1,4.0,2.0,2.0,,48,3,3,-6,,,2,,2,,0.0,,1,8.0,2.0,1,4.0,2.0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,13,9,2,4,12,11,14,15,6,8,1,10,5,7,3,11,13,9,2,4,12,11,14,15,6,8,1,10,5,7,3,6,6,2.0,,,,,,0.0,2,2,2,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,-7,,0,,,0,500000,200000.0,,,,2,22,8,2025,19,4,1,2,1,,,1,2,2,2,2,5224,4,4,3,0,1.0,1.0,4.8455725,61
1629158,534,2,2,3,1,1,3,5,2,0,2,14,10,2025,10,36,2025,3,21,95,3,,,,,,4,,1,100,0,0,0,2,,2015,15,2015,25,2,2,,2,,,,1,60.0,0.0,1.0,-9.0,,2,,2,,2,,,,-6,2,,,2,2,,2,4,1,100,8000000.0,Eight million,10000000.0,Ten million,-9.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,1,3,3,,,,,,,,,,,,1,-4.0,3.0,2,1,2,1,2,,,2,,2,,,,,,,,,2,,,1,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,2,2,2,2.0,,,2,0,,,,,0,,,,0,2,,,,,1,1,1,2,,2.0,2,,2,,0.0,,2,,,1,3.0,2.0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,15,11,3,8,9,10,14,7,6,1,12,13,4,2,5,8,15,11,3,8,9,10,14,7,6,1,12,13,4,2,5,10,12,40.0,,8.0,2.0,0.0,0.0,,2,4,2,2,,,,,,,2,,,10,-9,,,2,,,2,,1,0,5925,40000.0,0,,,0,3000000,-9.0,4000000.0,,8000000.0,-8,14,10,2025,12,22,1,1,2,1.0,50.0,1,1,2,2,2,1079,3,2,2,0,1.0,1.1599877,1.6717311,38
1629159,549,2,2,2,1,1,2,300,2,0,1,23,7,2025,14,50,2024,3,21,95,2,,,,,,3,,1,100,0,0,0,1,100.0,2017,5,2018,20,1,2,,1,60.0,1.0,60000.0,1,10.0,10.0,1.0,,100000.0,1,40.0,2,,1,30.0,2.0,15000.0,2,1,30.0,5.0,1,1,2.0,2,4,1,90,3150000.0,Three Million one  Hundred Fifty Thousand,1645000.0,One million six hundred forty five thousand,100.0,100,0,0,,,,,,,,,,80,20,2.0,,,,,,,,1,2.0,3,3,3,2.0,2.0,,1.0,2.0,5.0,2.0,2.0,,1.0,1.0,2,20.0,3.0,1,1,2,2,2,,,2,,2,,,,,,,,,1,3.0,1.0,-9,2,,2,1,100,0,0,0,0,0,0,1,600300.0,305000.0,30.0,,0.0,,40.0,,20.0,,0.0,,0.0,,10.0,,1,1,1,1.0,2024.0,500000.0,1.0,2.0,2.0,2.0,1.0,1.0,2000000.0,1,1,1,,1.0,7.0,2,0,,,,,0,,,,0,1,4.0,2.0,2.0,,-9,1,1,-6,,,2,,2,,0.0,,2,,,2,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,6,12,15,11,13,7,4,10,2,14,9,8,1,5,1,3,6,12,15,11,13,7,4,10,2,14,9,8,1,5,200,120,,50.0,190.0,10.0,190.0,10.0,,90,60,40,2,,,,,,,2,,,270,70,70.0,12.0,2,,,2,,0,0,160,1000.0,120,1.0,,3000,1950000,-9.0,800000.0,,1500000.0,10,23,7,2025,17,3,2,2,1,,,1,1,2,2,2,1393,2,2,2,0,1.0,1.0,1.5730151,24
1629160,550,2,2,3,1,1,3,40,2,0,2,27,9,2025,10,48,2025,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2014,8,2014,25,2,2,,2,,,,1,15.0,1.0,30.0,,180000.0,1,40.0,1,10.0,2,,,,-7,2,,,2,2,,-7,4,1,100,18720000.0,Eighteen million seven hundred twenty thousand,18000000.0,Eighteen million,70.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,3,2.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,4.0,1.0,2,5.0,3.0,3,2,2,1,2,,,2,,2,,,,,,,,,2,,,3,2,,1,2,0,70,0,0,0,5,25,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,1,1,2,,2.0,7.0,2,0,,,,,0,,,,2,1,1.0,2.0,2.0,,120,3,3,-6,,,2,,2,,,15000.0,2,,,1,10.0,2.0,1,2,2,2,-7,1,2,2,0,0,0,2,3,3,0,15,10,13,5,12,4,11,14,8,3,7,9,2,6,1,14,15,10,13,5,12,4,11,14,8,3,7,9,2,6,1,20,20,,5.0,13.0,7.0,0.0,0.0,,0,7,6,2,,,,,,,1,4.0,0.0,0,10,0.0,3.0,2,,,1,2.0,1,1,2200,15000.0,0,,,0,3685000,350000.0,13500000.0,,23400000.0,2,27,9,2025,12,11,1,2,1,,,1,1,2,2,2,1079,3,2,2,0,1.0,1.1599877,1.6717311,38
1629161,581,3,1,4,1,3,4,7,2,0,2,18,10,2025,12,11,2025,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2023,7,2023,3,2,2,,1,3.0,2.0,4500.0,2,,,,,,2,,2,,2,,,,-7,2,,,2,2,,2,4,3,85,15000000.0,Fifteen million,19000000.0,Nineteen million,,100,0,0,,,,,,,,,,0,100,1.0,"Korea, Republic of",1.0,2.0,4.0,3.0,5.0,-9.0,2,,3,3,2,,,,,,,,,,,,1,-4.0,2.0,2,2,2,1,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,75,25,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,50,2.0,,0.0,-6.0,50,2.0,,-6.0,0,1,1.0,2.0,2.0,,33,3,3,2,,3.0,2,,2,,0.0,,1,10.0,2.0,1,7.0,2.0,1,1,0,1,-9,3,1,1,0,1,1,2,0,0,1,14,10,9,15,8,1,13,11,7,12,5,3,6,4,2,6,14,10,9,15,8,1,13,11,7,12,5,3,6,4,2,7,7,50.0,,,,,,0.0,2,3,2,2,,,,,,,2,,,0,0,,,2,,,2,,1,2,41,500.0,0,,,0,350000,21000.0,,,,-8,18,10,2025,13,23,1,2,1,,,1,1,2,2,2,4669,4,4,3,0,1.0,1.0,4.8455725,61
1629162,624,4,1,4,1,3,1,10,2,0,1,10,8,2025,12,27,2025,3,21,95,1,,,,,,4,,1,100,0,0,0,2,,2020,4,2020,15,2,2,,2,,,,2,,,,,,2,,2,,2,,,,1,2,,,2,2,,2,4,4,100,7000000.0,Seven million,-7.0,,,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,3,,,,,,,,,,,,2,-4.0,3.0,1,2,2,2,2,,,2,,1,100000.0,,,,,,,,1,-6.0,2.0,3,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,2,40,3.0,,0.0,-5.0,50,3.0,,-5.0,8,1,1.0,2.0,2.0,,98,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,3,3,2,1,1,1,1,2,2,1,1,0,2,2,1,11,6,4,12,15,8,5,7,9,2,13,14,10,3,1,1,11,6,4,12,15,8,5,7,9,2,13,14,10,3,1,10,-7,100.0,,,,,,0.0,3,2,5,1,,,,,,0.0,2,,,0,0,,,2,,,1,2.0,0,0,4500,54000.0,0,,,0,200000,24000.0,,,,20,10,8,2025,13,40,1,1,1,,,1,1,1,1,2,4100,4,1,4,0,4.27105,5.971265,14.54295,51
1629163,644,4,1,3,1,3,3,25,2,0,2,4,10,2025,15,56,2025,3,21,95,1,,,,,,4,,1,50,0,0,50,2,,2022,11,2022,10,2,2,,2,,,,2,,,,,,1,30.0,1,70.0,2,,,,1,2,,,2,2,,2,3,4,60,11500000.0,Eleven million five hundred thousand,8000000.0,Eight million,,60,0,40,,,,,,,,,2022.0,100,0,,,,,,,,,2,,3,4,4,2.0,1.0,3.0,2.0,,,,2.0,,1.0,2.0,2,20.0,3.0,2,2,2,2,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,2,2,2,1.0,,,1,0,,,,,0,,,,8,1,10.0,2.0,2.0,,50,1,1,2,,3.0,1,3.0,1,30.0,0.0,,2,,,2,,,0,0,0,3,0,3,1,0,1,0,3,1,0,3,0,11,6,14,15,10,8,13,12,9,2,3,4,5,7,1,14,11,6,14,15,10,8,13,12,9,2,3,4,5,7,1,25,15,25.0,,,,,,0.0,7,8,10,2,,,,,,,2,,,10,0,,,2,,,2,,1,1,1200,12000.0,0,,,0,2586000,55000.0,,,,6,4,10,2025,17,43,1,2,1,,,1,1,2,2,2,4290,3,1,4,0,3.431909,6.067827,9.331877,35
1629164,654,4,2,3,1,3,3,110,1,0,1,28,7,2025,14,59,2025,3,21,95,3,2.0,1.0,1.0,1.0,,3,,2,100,0,0,0,2,,2015,70,2015,15,2,2,,2,,,,1,90.0,2.0,0.0,10.0,,1,40.0,2,,2,,,,2,2,,,1,1,1.0,1,4,51,70,30000000.0,Thirty million,30000000.0,Thirty million,,100,0,0,,,,,,,,,,90,10,2.0,,,,,,,,1,2.0,3,3,3,3.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2,5.0,3.0,1,2,2,1,1,1.0,"The new menu introduces new flavors and types of food, including dishes from Northen cuisine.",2,,2,,60.0,65.0,3.0,,,,,2,,,3,2,,2,2,90,0,0,0,0,0,10,1,1000000.0,0.0,90.0,,0.0,,0.0,,0.0,,0.0,,10.0,,0.0,,1,2,2,,,,,,,,,,,2,1,1,,-6.0,,2,40,1.0,,2.0,-6.0,40,1.0,,-6.0,10,1,2.0,2.0,2.0,,20,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,0,-9,0,1,0,0,-9,4,2,0,1,1,1,3,0,6,11,10,2,9,3,12,13,7,8,1,15,14,4,5,8,6,11,10,2,9,3,12,13,7,8,1,15,14,4,5,110,100,30.0,,,,,,7.0,10,80,20,1,,,,,7.0,,2,,,0,0,,,2,,,1,1.0,0,0,25000,312500.0,100,1.0,,2000,10000000,500000.0,,,,10,28,7,2025,16,11,1,4,1,,,1,1,2,2,2,5510,3,2,4,0,1.0,1.6899508,2.801251,41
1629165,660,4,1,1,1,3,4,5,2,0,2,4,8,2025,9,43,2025,3,21,95,2,,,,,,3,,1,100,0,0,0,2,,2016,5,2016,13,2,2,,1,10.0,2.0,50000.0,1,9.0,5.0,20.0,20.0,,1,50.0,1,50.0,2,,,,-7,1,8.0,6.0,1,1,5.0,1,4,4,20,13000000.0,Thirteen million,18000000.0,Eighteen million,,90,5,5,,,,,,,,,2016.0,90,10,2.0,,,,,,,,2,,3,4,4,,,,,,,,,,,,2,-4.0,3.0,1,-7,2,2,1,1.0,"Construction, pipe scheme , check dam, watershed, trenches.",2,,2,,,,,,,,,1,3.0,2.0,4,1,500000.0,1,1,70,10,0,0,0,10,10,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,1,2,2,6.0,,,2,60,3.0,,1.0,6.0,40,3.0,,3.0,20,1,1.0,2.0,2.0,,-9,1,1,-6,,,1,4.0,1,18.0,0.0,,2,,,1,5.0,2.0,0,2,0,0,1,3,1,3,0,0,3,0,0,0,0,6,15,2,10,3,4,11,14,13,12,5,8,9,7,1,2,6,15,2,10,3,4,11,14,13,12,5,8,9,7,1,48,13,17.0,,,,,,0.0,5,25,18,1,,,,,,0.0,1,20.0,0.0,5,5,0.0,1.0,2,,,2,,0,0,110,2600.0,60,1.0,,2100,450000,80.0,,,,30,4,8,2025,11,21,1,1,1,,,1,1,2,2,2,4210,1,1,4,0,2.7649214,5.415388,10.492743,5
